candidate,topic,cwt_archive_hit,mr_material_hit,mr_internal_no_results,mr_hit_count,mr_examples
Aidan Gomez,AI founder,False,False,False,0,
Aravind Srinivas,AI search founder,False,False,False,0,
Arthur Mensch,AI founder,False,False,False,0,
Chris Olah,AI interpretability,False,False,False,0,
Dawn Song,computer science,False,False,False,0,
Ed Boyden,neuroscience,True,True,False,2,"My Conversation with Ed Boyden, MIT neuroscientist :: https://marginalrevolution.com/marginalrevolution/2019/04/my-conversation-with-ed-boyden-of-mit.html | What should I ask Ed Boyden? :: https://marginalrevolution.com/marginalrevolution/2019/01/ask-ed-boyden.html"
Ethan Mollick,AI and education,False,True,False,15,Ethan Mollick had a good Bing Chat interaction :: https://marginalrevolution.com/marginalrevolution/2023/03/ethan-mollick-had-a-good-chatgpt-interaction.html | The new Mythos release :: https://marginalrevolution.com/marginalrevolution/2026/06/the-new-mythos-release.html | Friday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/06/friday-assorted-links-575.html
Fei-Fei Li,AI and policy,False,True,False,1,Friday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/02/friday-assorted-links-561.html
Jim Keller,semiconductors,False,True,False,1,Sunday assorted links :: https://marginalrevolution.com/marginalrevolution/2021/06/sunday-assorted-links-319.html
John Jumper,AI biology,False,False,False,0,
Katherine De Kleer,planetary science,False,False,False,0,
Kevin Esvelt,biosecurity,False,False,False,0,
Kiana Hayeri,photojournalism,False,False,False,0,
Lee Cronin,chemistry,False,True,False,2,My Conversation with Carl Zimmer :: https://marginalrevolution.com/marginalrevolution/2025/03/my-conversation-with-carl-zimmer.html | Thursday assorted links :: https://marginalrevolution.com/marginalrevolution/2023/10/thursday-assorted-links-422.html
Lisa Su,semiconductors,False,False,False,0,
Michael Levin,developmental biology,False,False,False,0,
Noam Brown,AI reasoning,False,True,False,4,Noam Brown reports :: https://marginalrevolution.com/marginalrevolution/2025/07/noam-brown-reports.html | Friday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/08/friday-assorted-links-533.html | Thursday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/07/thursday-assorted-links-513.html
Percy Liang,AI research,False,False,False,0,
Regina Barzilay,AI medicine,False,False,False,0,
Sébastien Bubeck,AI research,False,False,False,0,
Toby Ord,existential risk,False,True,False,7,Sunday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/09/sunday-assorted-links-535.html | Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/02/saturday-assorted-links-497.html | Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2023/09/saturday-assorted-links-422.html
Venki Ramakrishnan,biology,False,False,False,0,
Yann LeCun,AI research,False,True,False,3,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/04/monday-assorted-links-454.html | Wednesday assorted links :: https://marginalrevolution.com/marginalrevolution/2022/05/wednesday-assorted-links-348.html | What Do AI Researchers Think of the Risks of AI? :: https://marginalrevolution.com/marginalrevolution/2015/05/what-do-ai-researchers-think-of-the-risks-of-ai.html
Zeynep Tufekci,technology and society,True,True,False,12,My Conversation with Zeynep Tufekci :: https://marginalrevolution.com/marginalrevolution/2021/08/my-conversation-with-zeynep-tufekci.html | What should I ask Zeynep Tufekci? :: https://marginalrevolution.com/marginalrevolution/2021/06/what-should-i-ask-zeynep-tufekci.html | Zeynep Tufekci’s Facebook solution - can it work? :: https://marginalrevolution.com/marginalrevolution/2018/04/zeynep-tufekcis-facebook-solution-can-work.html
Alexandra Elbakyan,science publishing,False,False,False,0,
Aman Bhargava,AI policy,False,False,False,0,
Brian Klaas,political science,False,False,False,0,
Daron Acemoglu,economics,True,True,False,14,What should I ask Daron Acemoglu? :: https://marginalrevolution.com/marginalrevolution/2026/06/what-should-i-ask-daron-acemoglu-2.html | My Conversation with Daron Acemoglu :: https://marginalrevolution.com/marginalrevolution/2019/12/my-conversation-with-daron-acemoglu.html | What should I ask Daron Acemoglu? :: https://marginalrevolution.com/marginalrevolution/2019/10/what-should-i-ask-daron-acemoglu.html
Daniel Susskind,economics and AI,False,True,False,3,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2026/06/what-ive-been-reading-290.html | Thursday assorted links :: https://marginalrevolution.com/marginalrevolution/2017/02/thursday-assorted-links-97.html | Arrived in my pile :: https://marginalrevolution.com/marginalrevolution/2015/12/arrived-in-my-pile-34.html
Gabriel Zucman,economics,False,True,False,9,"Gabriel Zucman wins the John Bates Clark Medal :: https://marginalrevolution.com/marginalrevolution/2023/05/gabriel-zucman-wins-the-john-bates-clark-medal.html | New data on tax havens, from Gabriel Zucman :: https://marginalrevolution.com/marginalrevolution/2014/04/new-data-on-tax-havens-from-gabriel-zucman.html | Liberal Economists Score an Own Goal Against Bezos :: https://marginalrevolution.com/marginalrevolution/2026/05/liberal-economists-score-an-own-goal-against-bezos.html"
Indermit Gill,development economics,False,False,False,0,
Jennifer Pahlka,state capacity,True,True,False,4,My Conversation with the excellent Jennifer Pahlka :: https://marginalrevolution.com/marginalrevolution/2025/04/my-conversation-with-the-excellent-jennifer-pahlka.html | What should I ask Jennifer Pahlka? :: https://marginalrevolution.com/marginalrevolution/2025/02/what-should-i-ask-jennifer-pahlka.html | Jennifer Pahlka on DOGE :: https://marginalrevolution.com/marginalrevolution/2024/12/jennifer-pahlka-on-doge.html
Mariana Mazzucato,innovation economics,False,True,False,7,"Lunch with Mariana Mazzucato :: https://marginalrevolution.com/marginalrevolution/2015/08/lunch-with-mariana-mazzucato.html | Econ Journal Watch, new issue :: https://marginalrevolution.com/marginalrevolution/2024/10/economic-journal-watch-new-issue.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2020/12/what-ive-been-reading-180.html"
Nisarg Patel,economic policy,False,False,False,0,
Ngozi Okonjo-Iweala,trade,False,False,False,0,
Parag Khanna,geopolitics,False,True,False,2,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2017/01/monday-assorted-links-89.html | Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2016/12/monday-assorted-links-83.html
Raghuram Rajan,macroeconomics,True,True,False,11,My Conversation with Raghuram Rajan :: https://marginalrevolution.com/marginalrevolution/2019/03/my-conversation-with-raghuram-rajan.html | What should I ask Raghuram Rajan? :: https://marginalrevolution.com/marginalrevolution/2019/02/what-should-i-ask-raghuram-rajan.html | Raghuram Rajan on health care in India :: https://marginalrevolution.com/marginalrevolution/2010/05/raghuram-rajan-on-health-care-in-india.html
Raj Chetty,economic mobility,True,True,False,15,The new Raj Chetty paper on changes in opportunity :: https://marginalrevolution.com/marginalrevolution/2024/07/the-new-raj-chetty-paper-on-changes-in-opportunity.html | Raj Chetty talk on “The economic impacts of COVID-19: Real-time evidence from private sector data” :: https://marginalrevolution.com/marginalrevolution/2020/06/raj-chetty-talk-on-the-economic-impacts-of-covid-19-real-time-evidence-from-private-sector-data.html | Profile of Raj Chetty :: https://marginalrevolution.com/marginalrevolution/2019/07/profile-of-raj-chetty.html
Ricardo Hausmann,development economics,False,True,False,14,Ricardo Hausmann on Greece :: https://marginalrevolution.com/marginalrevolution/2015/07/ricardo-hausmann-on-greece.html | Ricardo Hausmann on Greece and austerity :: https://marginalrevolution.com/marginalrevolution/2015/03/ricardo-hausmann-on-greece-and-austerity.html | Wednesday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/10/wednesday-assorted-links-524.html
Stefanie Stantcheva,economics,False,True,False,8,Congratulations to the 2025 John Bates Clark Medalist Stefanie Stantcheva :: https://marginalrevolution.com/marginalrevolution/2025/04/congratulations-to-the-2025-john-bates-clark-medalist-stefanie-stantcheva.html | Emotions and Policy Views :: https://marginalrevolution.com/marginalrevolution/2025/07/emotions-and-policy-views.html | Two From the Tabarrok Brothers :: https://marginalrevolution.com/marginalrevolution/2024/05/two-from-the-tabarroks.html
Tito Boeri,labor economics,False,False,False,0,
Yascha Mounk,democracy,False,True,False,5,"My podcast with Yascha Mounk :: https://marginalrevolution.com/marginalrevolution/2025/01/my-podcast-with-yascha-mounk.html | Yascha Mounk interviews me for his podcast :: https://marginalrevolution.com/marginalrevolution/2021/04/yascha-mounk-interviews-me-for-his-podcast.html"
Andrei Soldatov,Russia,False,False,False,0,
Anne Applebaum,history and politics,False,True,False,4,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2017/10/what-ive-been-reading-112.html | Assorted links :: https://marginalrevolution.com/marginalrevolution/2015/02/assorted-links-1363.html | A Theory of Beautiful Russian Women :: https://marginalrevolution.com/marginalrevolution/2009/09/a-theory-of-beautiful-russian-women.html
Armin von Bogdandy,international law,False,False,False,0,
Caitlin Talmadge,security studies,False,False,False,0,
Katja Hoyer,German history,True,True,False,3,My excellent Conversation with Katja Hoyer :: https://marginalrevolution.com/marginalrevolution/2026/06/my-excellent-conversation-with-katja-hoyer.html | What should I ask Katja Hoyer? :: https://marginalrevolution.com/marginalrevolution/2026/03/what-should-i-ask-katja-hoyer-2.html | What should I ask Katja Hoyer? :: https://marginalrevolution.com/marginalrevolution/2026/03/what-should-i-ask-katja-hoyer.html
Kori Schake,security studies,False,False,False,0,
Misha Glenny,geopolitics,False,False,False,0,
Nadia Schadlow,foreign policy,False,False,False,0,
Niall Ferguson,history,True,True,False,14,"Niall Ferguson on world music :: https://marginalrevolution.com/marginalrevolution/2025/02/niall-ferguson-on-world-music.html | John Cochrane, Niall Ferguson, and H.R. McMaster interview me :: https://marginalrevolution.com/marginalrevolution/2021/11/john-cochrane-niall-ferguson-and-h-r-mcmaster-interview-me.html | My excellent Conversation with Niall Ferguson :: https://marginalrevolution.com/marginalrevolution/2021/07/my-excellent-conversation-with-niall-ferguson.html"
Peter Frankopan,history,False,True,False,2,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2023/03/what-ive-been-reading-237.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2015/09/what-ive-been-reading-60.html
Rana Mitter,China history,False,True,False,2,Best non-fiction books of 2013 :: https://marginalrevolution.com/marginalrevolution/2013/11/best-non-fiction-books-of-2013.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2013/07/what-ive-been-reading-29.html
Robert Tombs,British history,False,True,False,4,"Robert Tombs, *The English and Their History* :: https://marginalrevolution.com/marginalrevolution/2015/01/robert-tombs-the-english-and-their-history.html | What is the best book about each country? :: https://marginalrevolution.com/marginalrevolution/2018/01/best-book-country.html | Best non-fiction books of 2015 :: https://marginalrevolution.com/marginalrevolution/2015/11/best-non-fiction-books-of-2015.html"
Sarah Paine,military history,False,False,False,0,
Serhii Plokhy,Ukrainian history,False,True,False,5,Best non-fiction books of 2021 :: https://marginalrevolution.com/marginalrevolution/2021/11/best-non-fiction-books-of-2021.html | *Nuclear Folly: A History of the Cuban Missile Crisis* :: https://marginalrevolution.com/marginalrevolution/2021/04/nuclear-folly-a-history-of-the-cuban-missile-crisis.html | What is the best book about each country? :: https://marginalrevolution.com/marginalrevolution/2018/01/best-book-country.html
Tom Holland,classical history,True,True,False,6,My excellent Conversation with Tom Holland :: https://marginalrevolution.com/marginalrevolution/2023/03/my-excellent-conversation-with-tom-holland.html | What should I ask Tom Holland? :: https://marginalrevolution.com/marginalrevolution/2022/11/what-should-i-ask-tom-holland.html | My reading program for the half-year to come :: https://marginalrevolution.com/marginalrevolution/2023/01/my-reading-program-for-the-year-to-come.html
Bettany Hughes,history,False,False,False,0,
Amitav Ghosh,literature,False,True,False,2,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2023/10/what-ive-been-reading-243.html | Meta-list of the “best of” books of the year :: https://marginalrevolution.com/marginalrevolution/2008/11/meta-list-of-th.html
Amor Towles,fiction,False,False,False,0,
Claire Messud,fiction,False,True,False,5,Claire Messud’s *The Woman Upstairs* :: https://marginalrevolution.com/marginalrevolution/2013/05/claire-messuds-the-woman-upstairs.html | A very good paragraph and a half :: https://marginalrevolution.com/marginalrevolution/2015/08/a-very-good-paragraph-and-a-half.html | Best fiction books of 2013 :: https://marginalrevolution.com/marginalrevolution/2013/11/best-fiction-books-of-2013-2.html
George Saunders,fiction,False,True,False,2,What is the economic future of literature? :: https://marginalrevolution.com/marginalrevolution/2014/05/what-is-the-economic-future-of-literature.html | Assorted links :: https://marginalrevolution.com/marginalrevolution/2013/02/assorted-links-698.html
Hernan Diaz,fiction,False,False,False,0,
Katie Kitamura,fiction,False,False,False,0,
Merve Emre,literature,False,True,False,5,Wednesday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/wednesday-assorted-links-531.html | Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/04/tuesday-assorted-links-460.html | Sunday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/02/sunday-assorted-links-457.html
Orhan Pamuk,fiction,True,True,False,15,If you read only one book by Orhan Pamuk :: https://marginalrevolution.com/marginalrevolution/2006/10/if_you_only_rea.html | The best fiction in recent times :: https://marginalrevolution.com/marginalrevolution/2022/04/the-best-fiction-in-recent-times.html | What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2017/08/what-ive-been-reading-108.html
Patrick Radden Keefe,nonfiction,False,False,False,0,
Sarah Bakewell,biography,False,True,False,1,*How To Live* :: https://marginalrevolution.com/marginalrevolution/2011/04/how-we-live.html
Ted Chiang,fiction and technology,False,False,False,0,
Vikram Seth,fiction,False,True,False,4,Vikram Seth was once a graduate student in economics at Stanford :: https://marginalrevolution.com/marginalrevolution/2013/07/vikram-seth-was-once-a-graduate-student-in-economics-at-stanford.html | Best fiction books of 2017 :: https://marginalrevolution.com/marginalrevolution/2017/12/best-fiction-books-2017.html | “I spent eleven years not finishing my Ph.d.” :: https://marginalrevolution.com/marginalrevolution/2005/10/i_spent_eleven_.html
A. R. Rahman,music,False,False,False,0,
Bob Lefsetz,music industry,False,False,False,0,
Hikaru Nakamura,chess,False,True,False,2,The greatest gaming performance ever? :: https://marginalrevolution.com/marginalrevolution/2020/08/the-greatest-gaming-performance-ever.html | This year’s Candidates tournament :: https://marginalrevolution.com/marginalrevolution/2016/03/this-years-candidates-tournament.html
Judit Polgar,chess,False,True,False,1,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/09/monday-assorted-links-472.html
Levy Rozman,chess media,False,False,False,0,
Max Martin,music,False,False,False,0,
Rick Beato,music,False,True,False,1,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2019/03/what-ive-been-reading-139.html
Sasha Velour,performance,False,False,False,0,
Toni Kroos,football,False,False,False,0,
Will Wright,game design,False,True,False,1,Is this why I haven’t become addicted to Civilization? :: https://marginalrevolution.com/marginalrevolution/2007/03/is_this_why_i_h.html
Ari Emanuel,media,False,False,False,0,
Brian Chesky,hospitality,False,False,False,0,
Dylan Field,design software,False,True,False,1,Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/12/saturday-assorted-links-488.html
Jensen Huang,semiconductors,False,True,False,4,What I’ve been reading :: https://marginalrevolution.com/marginalrevolution/2025/02/what-ive-been-reading-265.html | Simple points on immigration :: https://marginalrevolution.com/marginalrevolution/2025/01/simple-points-on-immigration.html | *The Nvidia Way* :: https://marginalrevolution.com/marginalrevolution/2024/12/the-nvidia-way.html
Marc Lore,consumer technology,False,False,False,0,
Palmer Luckey,defense technology,False,True,False,2,Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/tuesday-assorted-links-548.html | Thursday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/08/thursday-assorted-links-464.html
Patrick Collison,technology,True,True,False,14,Patrick Collison on the Irish Enlightenment :: https://marginalrevolution.com/marginalrevolution/2025/09/patrick-collison-on-the-irish-enlightenment.html | Jony Ive and Patrick Collison :: https://marginalrevolution.com/marginalrevolution/2025/05/jony-ive-and-patrick-collison.html | Patrick Collison on classic novels :: https://marginalrevolution.com/marginalrevolution/2024/12/patrick-collison-on-classic-novels.html
Shyam Sankar,defense technology,False,True,False,2,Tuesday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/02/tuesday-assorted-links-557.html | The Return of the American Model :: https://marginalrevolution.com/marginalrevolution/2025/06/the-return-of-the-american-model.html
Tobi Lutke,commerce,False,False,False,0,
Vlad Tenev,financial technology,False,False,False,0,
Whitney Wolfe Herd,consumer technology,False,False,False,0,
Alex Karp,defense technology,False,True,False,2,Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2025/12/monday-assorted-links-540.html | Monday assorted links :: https://marginalrevolution.com/marginalrevolution/2024/08/monday-assorted-links-470.html
David Sacks,technology and politics,False,True,False,2,David Sacks is correct :: https://marginalrevolution.com/marginalrevolution/2025/08/david-sacks-is-correct.html | Saturday assorted links :: https://marginalrevolution.com/marginalrevolution/2026/06/saturday-assorted-links-564.html
Mira Murati,AI,False,False,False,0,
Mustafa Suleyman,AI,False,False,False,0,
Vitalik Buterin,cryptocurrency,True,True,False,15,Praise to Vitalik Buterin! :: https://marginalrevolution.com/marginalrevolution/2021/05/praise-to-vitalik-buterin.html | Vitalik Buterin’s Conversation with me :: https://marginalrevolution.com/marginalrevolution/2020/10/vitalik-buterins-conversation-with-me.html | What should I answer Vitalik Buterin? :: https://marginalrevolution.com/marginalrevolution/2020/10/what-should-i-answer-vitalik-buterin.html
Zvi Mowshowitz,AI analysis,False,True,False,3,"Zvi Mowshowitz covers my podcast with Dwarkesh Patel :: https://marginalrevolution.com/marginalrevolution/2024/02/zvi-moshowitz-covers-my-podcast-with-dwarkesh-patel.html | Hungary incentives of the day :: https://marginalrevolution.com/marginalrevolution/2023/02/hungary-incentives-of-the-day.html | Emergent Ventures winners, eighteenth cohort :: https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html"
Rory Sutherland,advertising,False,True,False,1,Square Dancing Bees and Quadratic Voting :: https://marginalrevolution.com/marginalrevolution/2015/05/square-dancing-bees-and-quadratic-voting.html
